"regiao","ano","mes","carga_de_demanda"
"S","2015",7,12654.05
"S","2015",8,13076.76
"S","2015",9,13867.35
"S","2015",10,13496.18
"S","2015",11,13913.51
"S","2015",12,14511.04
"S","2016",1,16219.19
"S","2016",2,16361.55
"S","2016",3,15965.95
"S","2016",4,15840.08
"S","2016",5,0
"S","2016",6,0
"S","2016",7,0
"S","2016",8,0
"S","2016",9,0
"S","2016",10,0
"S","2016",11,0
"S","2016",12,0
"SE/CO","2000",1,31290.9
"SE/CO","2000",2,32986.4
"SE/CO","2000",3,33556.6
"SE/CO","2000",4,34501.6
"SE/CO","2000",5,34804.3
"SE/CO","2000",6,34928.9
"SE/CO","2000",7,34677.1
"SE/CO","2000",8,34469.6
"SE/CO","2000",9,34569
"SE/CO","2000",10,33751.3
"SE/CO","2000",11,32826.8
"SE/CO","2000",12,33519.1
"SE/CO","2001",1,32686.1
"SE/CO","2001",2,34155.9
"SE/CO","2001",3,34335.1
"SE/CO","2001",4,35775.7
"SE/CO","2001",5,35025
"SE/CO","2001",6,27337.7
"SE/CO","2001",7,25957.1
"SE/CO","2001",8,25626.5
"SE/CO","2001",9,26030.3
"SE/CO","2001",10,25693.5
"SE/CO","2001",11,26157.15
"SE/CO","2001",12,26460
"SE/CO","2002",1,27933.93
"SE/CO","2002",2,29554.27
"SE/CO","2002",3,30700.89
"SE/CO","2002",4,32256.48
"SE/CO","2002",5,32021.45
"SE/CO","2002",6,32321.26
"SE/CO","2002",7,31722.12
"SE/CO","2002",8,32079.64
"SE/CO","2002",9,32279.14
"SE/CO","2002",10,32872.96
"SE/CO","2002",11,31773.54
"SE/CO","2002",12,31904.22
"SE/CO","2003",1,31281.62
"SE/CO","2003",2,33368.87
"SE/CO","2003",3,33152.7
"SE/CO","2003",4,34189.29
"SE/CO","2003",5,34073.2
"SE/CO","2003",6,34044.96
"SE/CO","2003",7,33442.04
"SE/CO","2003",8,33857
"SE/CO","2003",9,33525.14
"SE/CO","2003",10,33480.04
"SE/CO","2003",11,33493.66
"SE/CO","2003",12,33318.16
"SE/CO","2004",1,32481.87
"SE/CO","2004",2,33982.99
"SE/CO","2004",3,34605.68
"SE/CO","2004",4,35278.44
"SE/CO","2004",5,35658.55
"SE/CO","2004",6,35842.39
"SE/CO","2004",7,35782.8
"SE/CO","2004",8,35872.29
"SE/CO","2004",9,36199.86
"SE/CO","2004",10,36021.88
"SE/CO","2004",11,35548.75
"SE/CO","2004",12,35039.48
"SE/CO","2005",1,34278.19
