"bases","regioes","periodos","unidades_de_medida","download_ok","leitura_ok"
"mensal","SE/CO",2008,"Mwmed",TRUE,TRUE
"anual","SUL",2008,"Mwmed",TRUE,TRUE
"mensal","SUL",2008,"Mwmed",TRUE,TRUE
"anual","NORDESTE",2008,"Mwmed",TRUE,TRUE
"mensal","NORDESTE",2008,"Mwmed",TRUE,TRUE
"anual","NORTE",2008,"Mwmed",TRUE,TRUE
"mensal","NORTE",2008,"Mwmed",TRUE,TRUE
"anual","SIN",2008,"Mwmed",TRUE,TRUE
"mensal","SIN",2008,"Mwmed",TRUE,TRUE
"anual","SE/CO",2009,"Mwmed",TRUE,TRUE
"mensal","SE/CO",2009,"Mwmed",TRUE,TRUE
"anual","SUL",2009,"Mwmed",TRUE,TRUE
"mensal","SUL",2009,"Mwmed",TRUE,TRUE
"anual","NORDESTE",2009,"Mwmed",TRUE,TRUE
"mensal","NORDESTE",2009,"Mwmed",TRUE,TRUE
"anual","NORTE",2009,"Mwmed",TRUE,TRUE
"mensal","NORTE",2009,"Mwmed",TRUE,TRUE
"anual","SIN",2009,"Mwmed",TRUE,TRUE
"mensal","SIN",2009,"Mwmed",TRUE,TRUE
"anual","SE/CO",2010,"Mwmed",TRUE,TRUE
"mensal","SE/CO",2010,"Mwmed",TRUE,TRUE
"anual","SUL",2010,"Mwmed",TRUE,TRUE
"mensal","SUL",2010,"Mwmed",TRUE,TRUE
"anual","NORDESTE",2010,"Mwmed",TRUE,TRUE
"mensal","NORDESTE",2010,"Mwmed",TRUE,TRUE
"anual","NORTE",2010,"Mwmed",TRUE,TRUE
"mensal","NORTE",2010,"Mwmed",TRUE,TRUE
"anual","SIN",2010,"Mwmed",TRUE,TRUE
"mensal","SIN",2010,"Mwmed",TRUE,TRUE
"anual","SE/CO",2011,"Mwmed",TRUE,TRUE
"mensal","SE/CO",2011,"Mwmed",TRUE,TRUE
"anual","SUL",2011,"Mwmed",TRUE,TRUE
"mensal","SUL",2011,"Mwmed",TRUE,TRUE
"anual","NORDESTE",2011,"Mwmed",TRUE,TRUE
"mensal","NORDESTE",2011,"Mwmed",TRUE,TRUE
"anual","NORTE",2011,"Mwmed",TRUE,TRUE
"mensal","NORTE",2011,"Mwmed",TRUE,TRUE
"anual","SIN",2011,"Mwmed",TRUE,TRUE
"mensal","SIN",2011,"Mwmed",TRUE,TRUE
"anual","SE/CO",2012,"Mwmed",TRUE,TRUE
"mensal","SE/CO",2012,"Mwmed",TRUE,TRUE
"anual","SUL",2012,"Mwmed",TRUE,TRUE
"mensal","SUL",2012,"Mwmed",TRUE,TRUE
"anual","NORDESTE",2012,"Mwmed",TRUE,TRUE
"mensal","NORDESTE",2012,"Mwmed",TRUE,TRUE
"anual","NORTE",2012,"Mwmed",TRUE,TRUE
"mensal","NORTE",2012,"Mwmed",TRUE,TRUE
"anual","SIN",2012,"Mwmed",TRUE,TRUE
"mensal","SIN",2012,"Mwmed",TRUE,TRUE
"anual","SE/CO",2013,"Mwmed",TRUE,TRUE
"mensal","SE/CO",2013,"Mwmed",TRUE,TRUE
"anual","SUL",2013,"Mwmed",TRUE,TRUE
"mensal","SUL",2013,"Mwmed",TRUE,TRUE
"anual","NORDESTE",2013,"Mwmed",TRUE,TRUE
"mensal","NORDESTE",2013,"Mwmed",TRUE,TRUE
"anual","NORTE",2013,"Mwmed",TRUE,TRUE
"mensal","NORTE",2013,"Mwmed",TRUE,TRUE
"anual","SIN",2013,"Mwmed",TRUE,TRUE
"mensal","SIN",2013,"Mwmed",TRUE,TRUE
"anual","SE/CO",2014,"Mwmed",TRUE,TRUE
"mensal","SE/CO",2014,"Mwmed",TRUE,TRUE
"anual","SUL",2014,"Mwmed",TRUE,TRUE
"mensal","SUL",2014,"Mwmed",TRUE,TRUE
"anual","NORDESTE",2014,"Mwmed",TRUE,TRUE
"mensal","NORDESTE",2014,"Mwmed",TRUE,TRUE
"anual","NORTE",2014,"Mwmed",TRUE,TRUE
